So.,1955-10-09 00:00:00,Unnamed: 2,Unnamed: 3,3,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,12,13,Unnamed: 15,Unnamed: 16,16,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,23,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,41,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52
So.,1957-02-17,1.0,,,,,,,,9.0,,,,,,15.0,,,,,,,,,,,,,,,,31.0,,,,35.0,,,,,,,42.0,,,,,,,,,
So.,1957-02-24,,2.0,,,,,,,,,,,,,15.0,16.0,,,,,,,23,,,,,28.0,,,,,,,,,,,,,,,43.0,,,,,,,,
So.,1957-03-03,,,,4.0,,,,,9.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,34.0,,36.0,,,,,,,,,45.0,,,,,,
So.,1957-03-10,,2.0,,,,,7.0,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,35.0,36.0,,,,,,,,,45.0,,,,,,
So.,1957-03-17,,,3.0,,,,,,,,,,,14.0,,,,,,,,,,24.0,,,,,,,,32.0,,,35.0,,,,,,,,,44.0,,,,,,,
So.,1957-03-24,,,,,,,,,,,,,,14.0,,,,18.0,,,,22.0,,,,,,,,,31.0,,,,,,,,,,,,,,45.0,,,48.0,,,
So.,1957-03-31,,,,,,,,,,,,,,,,,,,,20.0,,,,,,26.0,27.0,,,30.0,,,,,,,,,,,,,,44.0,,,47.0,,,,
So.,1957-04-07,,2.0,,,,,,,,,,,,14.0,,,,18.0,,,,,,,,,,,,,31.0,,,,,,,,,40.0,,,,,,,,48.0,,,
So.,1957-04-14,,,,,,6.0,,,,,,,,,15.0,,,18.0,,,,,,,,,,28.0,,,,,,,,,,,39.0,,,,,44.0,,,,,,,
Mo.,1957-04-22,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,27.0,,,,,,,,35.0,,,,39.0,,,,,44.0,45.0,,,,,,
So.,1957-04-28,,,,,,,,,,,,,,,,,,18.0,,20.0,,,23,,,,,,,,,,33.0,,,,37.0,,,,,,43.0,,,,,,,,
So.,1957-05-05,,2.0,,4.0,,,,,,,,,,,,,,,,,,22.0,,,,,27.0,,,,31.0,,,,,,,,,,41.0,,,,,,,,,,
So.,1957-05-12,,,,,,,,,,,,,,,15.0,,17.0,,,,21.0,,,24.0,,,,,,,31.0,,,,,,,,,40.0,,,,,,,,,,,
So.,1957-05-19,,,,,,,,,,,,,,,,16.0,,,,20.0,,,,,,,,28.0,29.0,30.0,,,,,,,,,,,,,,44.0,,,,,,,
So.,1957-05-26,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,35.0,,,,,40.0,,,,,45.0,,,,,,
So.,1957-06-02,,,3.0,4.0,,,,,,,,,,14.0,,,,,,,,,,,,,,,29.0,,,32.0,,,,,37.0,,,,,,,,,,,,,,
Mo.,1957-06-10,1.0,,,,,,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,35.0,,,,,,,,,,,,47.0,,,,
So.,1957-06-16,,,,,,,,,,,,,,14.0,,,,,,,21.0,,,,,,,,,30.0,,,,34.0,,,,38.0,,,,,,44.0,,,,,,,
So.,1957-06-23,,,,4.0,,,,8.0,,10.0,,12.0,,,,,,,19.0,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,
So.,1957-06-30,,,,,,,,,,,,,,,15.0,,,,,,,,23,,,,,,,,31.0,,,,,36.0,37.0,,,,,,,,,46.0,,,,,
So.,1957-07-07,,,,,5.0,6.0,,,,,11.0,,,14.0,,,,,,,,22.0,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,
So.,1957-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,30.0,,,,34.0,,,,,,40.0,41.0,,,44.0,,,,,,,
So.,1957-07-21,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,42.0,,44.0,,,,,,,
So.,1957-07-28,1.0,,,,,,,,9.0,,,,,,,,,,,20.0,,,,,25.0,,27.0,,,,,,,34.0,,,,,,,,,,,,,,,,,
So.,1957-08-04,,,,,,6.0,,8.0,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,42.0,43.0,,,,,48.0,,,
So.,1957-08-11,,,,,,,,,,,,,13.0,,,,,,,,,,,,,26.0,,,29.0,,,,33.0,,,36.0,,,39.0,,,,,,,,,,,,
So.,1957-08-18,,,3.0,,,,,8.0,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,41.0,,,,,,,48.0,,,
So.,1957-08-25,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,30.0,31.0,,,,,36.0,,38.0,,,,42.0,,,,,,,,,
So.,1957-09-01,,2.0,,4.0,,,7.0,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,40.0,,,,,,,47.0,,,,
So.,1957-09-08,,,,,,,,,,,,12.0,,,,,,,,20.0,21.0,,,,,,27.0,,,,,,,,,,,38.0,,40.0,,,,,,,,,,,
So.,1957-09-15,,,,,,,,,,,,12.0,,,,,,,19.0,,,,,24.0,,,,28.0,,,,,,34.0,,,37.0,,,,,,,,,,,,,,
So.,1957-09-22,,,,,,,7.0,,9.0,10.0,,,,,,,,,,,,,,,25.0,,,,,,,,33.0,,35.0,,,,,,,,,,,,,,,,
So.,1957-09-29,,,,,,,,,,,,,13.0,,,,,,,20.0,21.0,22.0,,,,26.0,,,,,,,,,,,,,,,,42.0,,,,,,,,,
So.,1957-10-06,,,,,,6.0,,,9.0,,11.0,,,,,,,,,,,,,,25.0,26.0,,,,,31.0,,,,,,,,,,,,,,,,,,,,
So.,1957-10-13,1.0,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,29.0,30.0,,,,,,,,,,,41.0,,,,,,,,49.0,,
So.,1957-10-20,,2.0,,,,,,,,,,,,,,,,,,,,,,24.0,,,27.0,,,,,,,,35.0,36.0,,,,,,42.0,,,,,,,,,
